total_nacional_region,comuna_4_5,especie_6,total_numero_de_upa78,total_superficie_cultivo_ha
Región de Antofagasta,San Pedro De Atacama,Otras Especies Nativas,2,0.353
Región de Antofagasta,San Pedro De Atacama,Especie Nativa y Especie Exótica,0,0
Región de Antofagasta,Calama/Ollagüe,Total,8,2.276
Región de Antofagasta,Calama/Ollagüe,Sin clasificar,1,0.25
Región de Antofagasta,Calama/Ollagüe,Acacia,0,0
Región de Antofagasta,Calama/Ollagüe,Álamo,1,0.006
Región de Antofagasta,Calama/Ollagüe,Aromo,0,0
Región de Antofagasta,Calama/Ollagüe,Atriplex sp,0,0
Región de Antofagasta,Calama/Ollagüe,Eucalipto Blanco (Eucalyptus Globulus),0,0
Región de Antofagasta,Calama/Ollagüe,Eucalyptus Nitens,0,0
Región de Antofagasta,Calama/Ollagüe,Pino Ponderosa (Pinus Ponderosa),0,0
Región de Antofagasta,Calama/Ollagüe,Pino Radiata o Insigne (Pinus Radiata),0,0
Región de Antofagasta,Calama/Ollagüe,Pino Oregón (Pseudotsuga Menziesii),0,0
Región de Antofagasta,Calama/Ollagüe,Coigüe,0,0
Región de Antofagasta,Calama/Ollagüe,Quillay,0,0
Región de Antofagasta,Calama/Ollagüe,Raulí,0,0
Región de Antofagasta,Calama/Ollagüe,Tamarugo,2,0.089
Región de Antofagasta,Calama/Ollagüe,Otras Especies Exóticas,1,1.1
Región de Antofagasta,Calama/Ollagüe,Otras Coníferas,0,0
Región de Antofagasta,Calama/Ollagüe,Otras Especies Nativas,5,0.831
Región de Antofagasta,Calama/Ollagüe,Especie Nativa y Especie Exótica,0,0
Región de Antofagasta,Mejillones/Sierra Gorda,Total,0,0
Región de Antofagasta,Mejillones/Sierra Gorda,Sin clasificar,0,0
Región de Antofagasta,Mejillones/Sierra Gorda,Acacia,0,0
Región de Antofagasta,Mejillones/Sierra Gorda,Álamo,0,0
Región de Antofagasta,Mejillones/Sierra Gorda,Aromo,0,0
Región de Antofagasta,Mejillones/Sierra Gorda,Atriplex sp,0,0
Región de Antofagasta,Mejillones/Sierra Gorda,Eucalipto Blanco (Eucalyptus Globulus),0,0
Región de Antofagasta,Mejillones/Sierra Gorda,Eucalyptus Nitens,0,0
Región de Antofagasta,Mejillones/Sierra Gorda,Pino Ponderosa (Pinus Ponderosa),0,0
Región de Antofagasta,Mejillones/Sierra Gorda,Pino Radiata o Insigne (Pinus Radiata),0,0
Región de Antofagasta,Mejillones/Sierra Gorda,Pino Oregón (Pseudotsuga Menziesii),0,0
Región de Antofagasta,Mejillones/Sierra Gorda,Coigüe,0,0
Región de Antofagasta,Mejillones/Sierra Gorda,Quillay,0,0
Región de Antofagasta,Mejillones/Sierra Gorda,Raulí,0,0
Región de Antofagasta,Mejillones/Sierra Gorda,Tamarugo,0,0
Región de Antofagasta,Mejillones/Sierra Gorda,Otras Especies Exóticas,0,0
Región de Antofagasta,Mejillones/Sierra Gorda,Otras Coníferas,0,0
Región de Antofagasta,Mejillones/Sierra Gorda,Otras Especies Nativas,0,0
Región de Antofagasta,Mejillones/Sierra Gorda,Especie Nativa y Especie Exótica,0,0
Región de Antofagasta,Tocopilla/María Elena,Total,2,1.7
Región de Antofagasta,Tocopilla/María Elena,Sin clasificar,0,0
Región de Antofagasta,Tocopilla/María Elena,Acacia,0,0
Región de Antofagasta,Tocopilla/María Elena,Álamo,0,0
Región de Antofagasta,Tocopilla/María Elena,Aromo,0,0
Región de Antofagasta,Tocopilla/María Elena,Atriplex sp,0,0
Región de Antofagasta,Tocopilla/María Elena,Eucalipto Blanco (Eucalyptus Globulus),0,0
Región de Antofagasta,Tocopilla/María Elena,Eucalyptus Nitens,0,0
Región de Antofagasta,Tocopilla/María Elena,Pino Ponderosa (Pinus Ponderosa),0,0
Región de Antofagasta,Tocopilla/María Elena,Pino Radiata o Insigne (Pinus Radiata),0,0
Región de Antofagasta,Tocopilla/María Elena,Pino Oregón (Pseudotsuga Menziesii),0,0
Región de Antofagasta,Tocopilla/María Elena,Coigüe,0,0
Región de Antofagasta,Tocopilla/María Elena,Quillay,0,0
Región de Antofagasta,Tocopilla/María Elena,Raulí,0,0
Región de Antofagasta,Tocopilla/María Elena,Tamarugo,0,0
Región de Antofagasta,Tocopilla/María Elena,Otras Especies Exóticas,0,0
Región de Antofagasta,Tocopilla/María Elena,Otras Coníferas,0,0
Región de Antofagasta,Tocopilla/María Elena,Otras Especies Nativas,2,1.7
Región de Antofagasta,Tocopilla/María Elena,Especie Nativa y Especie Exótica,0,0
Región de Atacama,Total Región,Total,61,76.445
Región de Atacama,Total Región,Sin clasificar,0,0
Región de Atacama,Total Región,Acacia,2,8.5
