0,1,2,3,4,5,6,7,8
región_de_arica_y_parinacota,total_región,hortalizas,puerro,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,hortalizas,rábano_(o_rabanito),0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,hortalizas,repollito_de_bruselas,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,hortalizas,repollo,6.0,3.4,2.65,0.75,0.0
región_de_arica_y_parinacota,total_región,hortalizas,rúcula,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,hortalizas,ruibardo,0.0,0.0,0.0,0.0,0.0
región_de_arica_y_parinacota,total_región,hortalizas,sandía,2.0,0.5,0.5,0.0,0.0
región_de_arica_y_parinacota,total_región,hortalizas,tomate,370.0,784.8,48.56,736.24,0.0
región_de_arica_y_parinacota,total_región,hortalizas,tomate_cherry_(u_otros_mini),25.0,16.59,2.94,13.65,0.0
región_de_arica_y_parinacota,total_región,hortalizas,zanahoria,10.0,9.46,9.46,0.0,0.0
región_de_arica_y_parinacota,total_región,hortalizas,zapallo,6.0,2.19,1.59,0.6,0.0
región_de_arica_y_parinacota,total_región,hortalizas,zapallo_italiano,168.0,137.83,134.48,3.35,0.0
