total_nacional_region,comuna_67,tipo_de_cultivo,especie,numero_total_de_upa8910,superficie_total_de_cultivo_ha,aire_libre_superficie_ha,bajo_cubierta_superficie_ha,sin_clasificar_superficie_ha_11
Región de Arica y Parinacota,Total Región,Hortalizas,Huerta casera (princ. autoconsumo),1,0.1,0.1,0,0
Región de Arica y Parinacota,Total Región,Hortalizas,Kale (o col crespa),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Hortalizas,Kohlrabi (o colirrábano),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Hortalizas,Lechuga,37,17.46,16.46,1,0
Región de Arica y Parinacota,Total Región,Hortalizas,Locoto (o rocoto),20,13.375,13.375,0,0
Región de Arica y Parinacota,Total Región,Hortalizas,Lufa,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Hortalizas,Melón,10,12.8,11,1.8,0
Región de Arica y Parinacota,Total Región,Hortalizas,Orégano,34,21.028,21.028,0,0
Región de Arica y Parinacota,Total Región,Hortalizas,Pak Choi (o Bok Choy),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Hortalizas,Pepino dulce,7,3.25,2.5,0.75,0
Región de Arica y Parinacota,Total Región,Hortalizas,Pepino ensalada,167,140.52,1.5,139.02,0
Región de Arica y Parinacota,Total Región,Hortalizas,Perejil,3,2,0,2,0
Región de Arica y Parinacota,Total Región,Hortalizas,Pimiento (incl. todos los tipos),220,198.84,10.145,188.695,0
Región de Arica y Parinacota,Total Región,Hortalizas,Poroto Granado,4,1.5,1.5,0,0
Región de Arica y Parinacota,Total Región,Hortalizas,Poroto Verde,35,18.15,13.7,4.45,0
Región de Arica y Parinacota,Total Región,Hortalizas,Puerro,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Hortalizas,Rábano (o rabanito),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Hortalizas,Repollito de Bruselas,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Hortalizas,Repollo,6,3.4,2.65,0.75,0
Región de Arica y Parinacota,Total Región,Hortalizas,Rúcula,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Hortalizas,Ruibardo,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Hortalizas,Sandía,2,0.5,0.5,0,0
Región de Arica y Parinacota,Total Región,Hortalizas,Tomate,370,784.8,48.56,736.24,0
Región de Arica y Parinacota,Total Región,Hortalizas,Tomate cherry (u otros mini),25,16.59,2.94,13.65,0
Región de Arica y Parinacota,Total Región,Hortalizas,Zanahoria,10,9.46,9.46,0,0
Región de Arica y Parinacota,Total Región,Hortalizas,Zapallo,6,2.19,1.59,0.6,0
Región de Arica y Parinacota,Total Región,Hortalizas,Zapallo Italiano,168,137.83,134.48,3.35,0
Región de Arica y Parinacota,Total Región,Hortalizas,Otras Hortalizas,11,31.266,30.77,0.496,0
Región de Arica y Parinacota,Total Región,Hortalizas,Champiñón de parís o común (Agaricus bisporus),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Hortalizas,Portobello (Agaricus bisporus var. portabella),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Hortalizas,Shiitake (Lentinula edodes),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Hortalizas,Ostra (Pleurotus varios),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Hortalizas,Trufa Negra (Tuber melanosporum),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Hortalizas,Otros Hongos y Setas,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Hortalizas,Anís,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Hortalizas,Azafrán,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Hortalizas,Cedrón,3,0.6,0.6,0,0
Región de Arica y Parinacota,Total Región,Hortalizas,Comino,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Hortalizas,Eneldo,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Hortalizas,Hipérico (o hierba de S. Juan),0,0,0,0,0
Región de Arica y Parinacota,Total Región,Hortalizas,Jengibre,0,0,0,0,0
Región de Arica y Parinacota,Total Región,Hortalizas,Lavanda,0,0,0,0,0
